timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], compute_mode
2022/04/05 23:45:49.056, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:50.057, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:51.058, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:52.060, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:53.061, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:54.063, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:55.064, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:56.066, Tesla T4, 54, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:57.067, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:58.068, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:45:59.069, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:00.070, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:01.071, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:02.072, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:03.073, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:04.074, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:05.075, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:06.076, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:07.077, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:08.078, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:09.079, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:10.080, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:11.081, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:12.082, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:13.083, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:14.085, Tesla T4, 53, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:15.086, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:16.087, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:17.088, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:18.089, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:19.091, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:20.092, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:21.093, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:22.094, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:23.095, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:24.097, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:25.098, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:26.099, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:27.100, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:28.101, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:29.102, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:30.103, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:31.104, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:32.105, Tesla T4, 52, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:33.106, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:34.107, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:35.108, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:36.109, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:37.110, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:38.111, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:39.113, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:40.114, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:41.115, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:42.116, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:43.117, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:44.118, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:45.119, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:46.120, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:47.122, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:48.123, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:49.124, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:50.125, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:51.126, Tesla T4, 51, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:52.127, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:53.128, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:54.129, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:55.130, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:56.132, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:57.133, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:58.134, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:46:59.135, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:00.136, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:01.137, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:02.138, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:03.139, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:04.141, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:05.142, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:06.143, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:07.144, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:08.145, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:09.146, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:10.147, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:11.148, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:12.149, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:13.150, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:14.151, Tesla T4, 50, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:15.152, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:16.154, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:17.155, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:18.156, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:19.158, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:20.159, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:21.160, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:22.161, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:23.162, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:24.163, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:25.164, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:26.165, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:27.166, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:28.168, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:29.169, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:30.170, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:31.171, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:32.172, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:33.173, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:34.174, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:35.175, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:36.176, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:37.177, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:38.178, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:39.179, Tesla T4, 49, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:40.180, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:41.182, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:42.183, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:43.184, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:44.185, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:45.187, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:46.188, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:47.189, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:48.190, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:49.191, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:50.192, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:51.193, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:52.194, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:53.195, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:54.196, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:55.197, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:56.198, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:57.199, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:58.200, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:47:59.202, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:00.204, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:01.205, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:02.206, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:03.207, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:04.208, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:05.209, Tesla T4, 48, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:06.210, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:07.211, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:08.212, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:09.214, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:10.215, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:11.216, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:12.217, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:13.218, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:14.220, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:15.221, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:16.222, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:17.223, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:18.224, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:19.225, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:20.227, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:21.228, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:22.229, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:48:23.230, Tesla T4, 47, 0 %, 0 %, 0 MiB, Default
